query_mass,compound_id,compound_name,kegg_id,formula,monoisotopic_mass,adduct,adduct_type,adduct_m/z,delta(ppm)
130.0656268,HMDB0159222,3-methyl-1H-indol-6-ol,n/a,C9H9NO,147.068413914,M+H-H2O,+,130.065714,1
130.0656268,HMDB0159224,1125-35-5,n/a,C9H9NO,147.068413914,M+H-H2O,+,130.065714,1
130.0656268,HMDB0005785,Indole-3-carbinol,n/a,C9H9NO,147.068413915,M+H-H2O,+,130.065714,1
130.0656268,HMDB0030204,1-(2-Furanylmethyl)-1H-pyrrole,n/a,C9H9NO,147.068413915,M+H-H2O,+,130.065714,1
130.0656268,HMDB0040009,"4-(2-Furanylmethylene)-3,4-dihydro-2H-pyrrole",n/a,C9H9NO,147.068413915,M+H-H2O,+,130.065714,1
130.0656268,HMDB0040011,3-(2-Furanylmethyl)-1H-pyrrole,n/a,C9H9NO,147.068413915,M+H-H2O,+,130.065714,1
130.0656268,HMDB0011664,3-Methylene-indolenine,n/a,C9H7N,129.057849229,M+H,+,130.065125,4
130.0656268,HMDB0033731,Quinoline,C06413,C9H7N,129.057849229,M+H,+,130.065125,4
130.0656268,HMDB0034244,Isoquinoline,C06323,C9H7N,129.057849229,M+H,+,130.065125,4
133.0861495,HMDB0161116,5-hydroxy-4-methylpentanoic acid,n/a,C6H12O3,132.078644246,M+H,+,133.08592,2
133.0861495,HMDB0161115,4-hydroxy-4-methylpentanoic acid,n/a,C6H12O3,132.078644246,M+H,+,133.08592,2
133.0861495,HMDB0163679,"5,6-dihydroxyhexan-2-one",n/a,C6H12O3,132.078644246,M+H,+,133.08592,2
133.0861495,HMDB0061652,(S)-3-hydroxyhexanoic acid,n/a,C6H12O3,132.078644246,M+H,+,133.08592,2
133.0861495,HMDB0171222,4-hydroxy-3-methylbutyl formate,n/a,C6H12O3,132.078644246,M+H,+,133.08592,2
133.0861495,HMDB0165043,5-hydroxy-3-methylpentanoic acid,n/a,C6H12O3,132.078644246,M+H,+,133.08592,2
133.0861495,HMDB0165041,4-hydroxy-3-methyl-valeric acid,n/a,C6H12O3,132.078644246,M+H,+,133.08592,2
133.0861495,HMDB0165042,3-hydroxymethyl-valeric acid,n/a,C6H12O3,132.078644246,M+H,+,133.08592,2
133.0861495,HMDB0163681,"3,6-dihydroxyhexan-2-one",n/a,C6H12O3,132.078644246,M+H,+,133.08592,2
133.0861495,HMDB0163682,"1,6-dihydroxy-2-hexanone",n/a,C6H12O3,132.078644246,M+H,+,133.08592,2
133.0861495,HMDB0163680,SCHEMBL20530464,n/a,C6H12O3,132.078644246,M+H,+,133.08592,2
133.0861495,HMDB0000525,5-Hydroxyhexanoic acid,n/a,C6H12O3,132.07864425,M+H,+,133.08592,2
133.0861495,HMDB0000624,D-Leucic acid,C03264,C6H12O3,132.07864425,M+H,+,133.08592,2
133.0861495,HMDB0040409,Ethyl (±)-3-hydroxybutyrate,n/a,C6H12O3,132.07864425,M+H,+,133.08592,2
133.0861495,HMDB0000665,Leucinic acid,n/a,C6H12O3,132.07864425,M+H,+,133.08592,2
133.0861495,HMDB0000746,Hydroxyisocaproic acid,n/a,C6H12O3,132.07864425,M+H,+,133.08592,2
133.0861495,HMDB0001624,2-Hydroxycaproic acid,n/a,C6H12O3,132.07864425,M+H,+,133.08592,2
133.0861495,HMDB0032158,(+/-)-1-Acetoxy-1-ethoxyethane,n/a,C6H12O3,132.07864425,M+H,+,133.08592,2
133.0861495,HMDB0032456,Paraldehyde,C07834,C6H12O3,132.07864425,M+H,+,133.08592,2
