query_mass,compound_id,compound_name,kegg_id,formula,monoisotopic_mass,adduct,adduct_type,adduct_m/z,delta(ppm)
146.1173902,HMDB0145125,1-(2-hydroxyethyl)piperidin-3-ol,n/a,C7H15NO2,145.110278727,M+H,+,146.117555,1
146.1173902,HMDB0145116,SCHEMBL10818580,n/a,C7H15NO2,145.110278727,M+H,+,146.117555,1
146.1173902,HMDB0094649,L-2-aminoheptanoic acid,n/a,C7H15NO2,145.110278729,M+H,+,146.117555,1
146.1173902,HMDB0001161,4-Trimethylammoniobutanoic acid,C01181,C7H15NO2,145.110278729,M+H,+,146.117555,1
146.1173902,HMDB0006831,4-Trimethylammoniobutanoic acid,C01181,C7H15NO2,145.110278729,M+H,+,146.117555,1
146.1173902,HMDB0013811,1-Nitroheptane,n/a,C7H16NO2,146.118103761,M+H,+,146.118104,5
146.1173902,HMDB0000895,Acetylcholine,C01996,C7H16NO2,146.118103761,M+H,+,146.118104,5
146.1171354,HMDB0166738,3-butyloxirane-2-carbaldehyde,n/a,C7H12O2,128.083729626,M+NH4,+,146.117553,3
146.1171354,HMDB0164724,4-Hydroxy-4-methylcyclohexanone,n/a,C7H12O2,128.083729626,M+NH4,+,146.117553,3
146.1171354,HMDB0165094,3-(Hydroxymethyl)cyclohexanone,n/a,C7H12O2,128.083729626,M+NH4,+,146.117553,3
146.1171354,HMDB0165096,SCHEMBL443446,n/a,C7H12O2,128.083729626,M+NH4,+,146.117553,3
146.1171354,HMDB0165095,3-Hydroxy-3-methylcyclohexan-1-one,n/a,C7H12O2,128.083729626,M+NH4,+,146.117553,3
146.1171354,HMDB0165097,SCHEMBL13284055,n/a,C7H12O2,128.083729626,M+NH4,+,146.117553,3
146.1171354,HMDB0166737,6-Hydroxy-2-heptenal,n/a,C7H12O2,128.083729626,M+NH4,+,146.117553,3
146.1171354,HMDB0031484,2-Heptenoic acid,n/a,C7H12O2,128.083729628,M+NH4,+,146.117553,3
146.1171354,HMDB0038962,Ethyl tiglate,C08487,C7H12O2,128.083729628,M+NH4,+,146.117553,3
146.1171354,HMDB0031500,Methyl 2E-hexenoate,n/a,C7H12O2,128.083729628,M+NH4,+,146.117553,3
146.1171354,HMDB0166739,(2E)-7-hydroxyhept-2-enal,n/a,C7H12O2,128.083729626,M+NH4,+,146.117553,3
146.1171354,HMDB0029314,Isopentenyl acetate,n/a,C7H12O2,128.083729628,M+NH4,+,146.117553,3
146.1171354,HMDB0031477,"3,4-Heptanedione",n/a,C7H12O2,128.083729628,M+NH4,+,146.117553,3
146.1171354,HMDB0031476,"2,3-Heptanedione",n/a,C7H12O2,128.083729628,M+NH4,+,146.117553,3
146.1171354,HMDB0031504,Methyl (Z)-3-hexenoate,n/a,C7H12O2,128.083729628,M+NH4,+,146.117553,3
146.1171354,HMDB0031603,Ethyl 4-pentenoate,n/a,C7H12O2,128.083729628,M+NH4,+,146.117553,3
146.1171354,HMDB0040214,cis-3-Hexenyl formate,n/a,C7H12O2,128.083729628,M+NH4,+,146.117553,3
146.1171354,HMDB0031342,Cyclohexanecarboxylic acid,C09822,C7H12O2,128.083729628,M+NH4,+,146.117553,3
146.1171354,HMDB0038271,2-Hexenyl formate,n/a,C7H12O2,128.083729628,M+NH4,+,146.117553,3
146.1171354,HMDB0031174,4-Methyl-5-hexanolide,n/a,C7H12O2,128.083729628,M+NH4,+,146.117553,3
146.1171354,HMDB0031681,Dihydro-5-propyl-2(3H)-furanone,n/a,C7H12O2,128.083729628,M+NH4,+,146.117553,3
146.1171354,HMDB0033793,4-Heptenoic acid,n/a,C7H12O2,128.083729628,M+NH4,+,146.117553,3
146.1171354,HMDB0031593,"5-Methyl-2,3-hexanedione",n/a,C7H12O2,128.083729628,M+NH4,+,146.117553,3
146.1171354,HMDB0039819,"2,4-Dimethyl-2-pentenoic acid",n/a,C7H12O2,128.083729628,M+NH4,+,146.117553,3
146.1171354,HMDB0166736,4-Hydroxyheptenal,n/a,C7H12O2,128.083729626,M+NH4,+,146.117553,3
146.1171354,HMDB0173760,SCHEMBL14734478,n/a,C7H12O2,128.083729626,M+NH4,+,146.117553,3
146.1171354,HMDB0173761,"3-methylcyclohex-3-ene-1,2-diol",n/a,C7H12O2,128.083729626,M+NH4,+,146.117553,3
146.1171354,HMDB0173762,"5-methylcyclohex-4-ene-1,3-diol",n/a,C7H12O2,128.083729626,M+NH4,+,146.117553,3
146.1171354,HMDB0173763,1-methyl-7-oxabicyclo[4.1.0]heptan-3-ol,n/a,C7H12O2,128.083729626,M+NH4,+,146.117553,3
146.1171354,HMDB0180322,3-(3-ethyloxiran-2-yl)propanal,n/a,C7H12O2,128.083729626,M+NH4,+,146.117553,3
146.1171354,HMDB0180323,(2E)-3-(3-ethyloxiran-2-yl)prop-2-en-1-ol,n/a,C7H12O2,128.083729626,M+NH4,+,146.117553,3
146.1171354,HMDB0029165,"1,3-Diacetylpropane",n/a,C7H12O2,128.083729628,M+NH4,+,146.117553,3
146.1171354,HMDB0031351,Cyclohexyl formate,n/a,C7H12O2,128.083729628,M+NH4,+,146.117553,3
146.1171354,HMDB0032460,4-Pentenyl acetate,n/a,C7H12O2,128.083729628,M+NH4,+,146.117553,3
146.1171354,HMDB0032391,3-Methyl-3-butenyl acetate,n/a,C7H12O2,128.083729628,M+NH4,+,146.117553,3
146.1171354,HMDB0030330,1-Methoxy-3-methylene-2-pentanone,n/a,C7H12O2,128.083729628,M+NH4,+,146.117553,3
