"population","pop_name","sample","vaccine_status","percentage"
"Pop12","CD3+CD8+CD45RA+SLADQ+CD172(negative all other markers)","Minipig_7488_12wks","control",0
"Pop12","CD3+CD8+CD45RA+SLADQ+CD172(negative all other markers)","Minipig_7554_12wks","control",0
"Pop12","CD3+CD8+CD45RA+SLADQ+CD172(negative all other markers)","Minipig_9739_12wks","control",0.00386249517188104
"Pop12","CD3+CD8+CD45RA+SLADQ+CD172(negative all other markers)","Minipig_9947_12wks","vaccinated",0.00238823079862438
"Pop13","CD3+CD8+CD45RA+SLADQ+(negative all other markers)","Minipig_1817_30DPI","vaccinated",0.696972043676915
"Pop13","CD3+CD8+CD45RA+SLADQ+(negative all other markers)","Minipig_3273_30DPI","control",1.85123442089386
"Pop13","CD3+CD8+CD45RA+SLADQ+(negative all other markers)","Minipig_4515_30DPI","vaccinated",0.323747857550943
"Pop13","CD3+CD8+CD45RA+SLADQ+(negative all other markers)","Minipig_4754_30DPI","control",0.163019625054862
"Pop13","CD3+CD8+CD45RA+SLADQ+(negative all other markers)","Minipig_5273_30DPI","vaccinated",0.158720468835846
"Pop13","CD3+CD8+CD45RA+SLADQ+(negative all other markers)","Minipig_6059_30DPI","vaccinated",0.134698275862069
"Pop13","CD3+CD8+CD45RA+SLADQ+(negative all other markers)","Minipig_7488_30DPI","control",0.985260502876961
"Pop13","CD3+CD8+CD45RA+SLADQ+(negative all other markers)","Minipig_7554_30DPI","control",0.99626400996264
"Pop13","CD3+CD8+CD45RA+SLADQ+(negative all other markers)","Minipig_9739_30DPI","control",0.11708459361889
"Pop13","CD3+CD8+CD45RA+SLADQ+(negative all other markers)","Minipig_9947_30DPI","vaccinated",0.256621314094805
"Pop13","CD3+CD8+CD45RA+SLADQ+(negative all other markers)","Minipig_1817_12wks","vaccinated",0.0363713514988028
"Pop13","CD3+CD8+CD45RA+SLADQ+(negative all other markers)","Minipig_3273_12wks","control",0.0237633173591033
"Pop13","CD3+CD8+CD45RA+SLADQ+(negative all other markers)","Minipig_4515_12wks","vaccinated",0.0223403779991957
"Pop13","CD3+CD8+CD45RA+SLADQ+(negative all other markers)","Minipig_4754_12wks","control",0.0184744705909521
"Pop13","CD3+CD8+CD45RA+SLADQ+(negative all other markers)","Minipig_5273_12wks","vaccinated",0.0123735577071798
