"","metaboliteID","PC2","mz","mzmin","mzmax","rt","rtmin","rtmax","npeaks","QC","Unvaccinated","Vaccinated","Minipig_Pooled_QC1","Minipig_Pooled_QC2","Minipig_Pooled_QC3","Minipig_Pooled_QC4","Minipig_Pooled_QC5","Minipig_Pooled_QC6","Minipig_Pooled_QC7","Minipig_3273_12wks","Minipig_3273_30DPI","Minipig_4754_12wks","Minipig_4754_30DPI","Minipig_7488_12wks","Minipig_7488_30DPI","Minipig_7554_12wks","Minipig_7554_30DPI","Minipig_9739_12wks","Minipig_9739_30DPI","Minipig_1817_12wks","Minipig_1817_30DPI","Minipig_4515_12wks","Minipig_4515_30DPI","Minipig_5273_12wks","Minipig_5273_30DPI","Minipig_6059_12wks","Minipig_6059_30DPI","Minipig_9947_12wks","Minipig_9947_30DPI"
"58",2229,0.0250816131896125,512.361467837493,512.36038183941,512.362784661014,1397.571,1375.45,1398.25199999998,32,7,10,10,67087.8685319448,62041.9915250162,87406.1203606066,87394.9188137352,48798.2746397803,41655.7671307524,44185.9122406704,28714.882739484,93179.3506151415,43861.7939950409,108627.184886546,29219.2036963432,31808.1659348605,45962.197717744,172794.686526262,31804.4351005944,51138.1967444187,48928.7594968392,122116.22327655,37783.1608290952,105728.5384114,46371.2247089721,71261.1433672763,38006.3298497315,121838.715393341,18987.2892609802,32014.7710347769
"59",2254,0.0207200468046414,514.876054245593,514.874364517168,514.877488270011,73.23399999998,71.95200000002,77.84,27,7,10,10,29080.6667099663,29081.9126043547,27354.3794515688,26480.7197923073,27636.0646316723,26018.0518305349,27064.603623114,24270.9096439643,27639.4740438705,23871.9925238274,23384.3777708471,27046.4392818197,29517.3357725094,55972.9080884994,60283.3036366539,24224.3383405259,23554.089944917,25582.4311469768,26906.6063323285,25245.8707023983,23477.3287471962,25269.3940858342,31537.9295992222,31757.8913212719,18720.0520117395,21462.0075991694,25255.7915014026
"60",2358,0.0277919523565464,528.313616713259,528.310850641501,528.31861529566,1323.83149999998,1323.06799999998,1324.242,24,7,8,9,18062.8840711857,16773.7628533945,14866.9884766947,13939.0311073791,13941.5792629397,11869.4233828792,11719.7876184049,23110.6650042476,34973.8501073922,10468.7189390194,29520.6027436144,14756.2733400874,17717.9700317769,7595.49633656528,34409.0908527989,7195.00295762904,15572.9871842304,22856.51853184,33422.3220794707,9141.44554716997,18597.5933453726,6806.2314356168,23391.7240403256,9166.51697757923,21322.319442235,26062.2363886421,24079.7715108949
"61",2375,0.0205471708070643,530.329289734075,530.327282581958,530.331958182259,1378.22799999998,1377.50099999998,1378.237,9,3,2,4,13967.2975251907,14142.6130101619,12515.6902758673,11570.7842502113,11691.4299527801,8695.14674314484,10675.4673587407,12142.8074904103,16377.3089528925,10833.4017903917,13782.5324451306,11216.6214171464,10304.2848579692,10827.8635419185,17625.5158980839,7997.4724085182,7824.81637613741,15278.6354810314,11329.3267464363,9238.97992040962,8409.09434907493,9541.88290438482,9598.26007405668,9374.51063580358,11126.5091561363,14661.6520958042,10349.8243967874
"62",2389,0.0205630366465039,532.339082645816,532.337969138349,532.342203083754,1398.23500000002,1396.615,1398.72100000002,27,7,10,10,134525.252607421,127778.22141178,115088.956629096,102088.651688774,107566.823802245,46758.6764121294,88790.5993708853,59009.8780231853,169395.461831177,83314.8254163699,186906.038973574,45711.1217400967,81185.2131586406,57114.1197459915,198913.955039133,45023.4213407902,74313.4502773011,108404.363403284,179806.536968438,75342.5658598206,191692.89390134,83876.4037207196,122867.766691281,59189.9529694821,192364.398720938,30514.6374949492,59988.2438846586
"63",2397,0.0202080085500685,533.344894907492,533.342490059647,533.349479989545,1398.23500000002,1395.97799999998,1398.90899999998,22,7,7,8,37698.0320760411,38509.1156797589,34925.1651040646,30939.3554320181,33143.8435615125,13626.5818129182,26028.2749493225,17345.6864595532,48613.7073549578,26782.4531506025,54007.0552384817,18032.0945087288,24603.3760096599,23705.5482765163,55245.7116909911,16700.6854334027,24557.4905021249,30880.5970034718,51995.227088561,24234.4496648203,52326.6082411332,27133.4559594656,34317.8893041667,21299.2760053043,56076.2466186594,12969.2452578887,19033.5579814452
"64",2440,0.0229877094169813,538.385838264273,538.384490640632,538.387612793645,1504.26399999998,1499.05599999998,1506.93800000002,27,7,10,10,82174.0507372473,70188.6040816971,66071.7854811332,59368.1066304896,65623.427337348,37187.1600027428,59353.8031644519,48939.6579722822,119976.798238042,56739.9035317076,65323.5130695573,74943.2706794421,39820.7112457168,125682.745371634,114259.433123497,36926.4840427054,57136.0853324709,68470.5241713139,117922.104876825,57067.0795517204,48576.1782587088,50590.4115179728,113249.267370883,78365.4943420548,75033.0886657904,84325.3853743666,100909.192630749
"65",2441,0.0267066814752461,538.387452109069,538.386287743724,538.38891045703,1530.692,1525.049,1534.23900000002,18,7,5,6,52937.1407429249,44834.8544165037,44792.2353016008,41669.7836071419,37924.4739472917,28154.9214214881,40645.206871424,38515.4299429634,54197.8811122039,36330.7360510257,78985.1092619014,34753.2174858194,23891.5797505565,56950.2770398237,275866.594186588,30748.4813525805,36867.1047336242,55802.4440988652,87599.2331689457,41991.1077993082,58146.2244843583,43108.029916659,50428.5990654116,45014.9707128259,60709.1792027767,27579.7694227682,30588.4312603226
"66",2696,0.0237800587791826,574.8741345143,574.873123493125,574.877855606879,72.56799999998,71.803,77.84,7,1,2,4,9252.80122316627,9058.72272867766,8891.29976959842,8920.83002559235,8381.87769627557,7293.37396191146,8324.69916494834,9015.22182127695,8211.23312574113,7745.38592112974,6844.80551515007,8144.76354531944,9025.50001279992,8886.59226787956,15217.8787241661,6929.65039382492,6452.1037682374,8534.18995616455,8873.83067651368,7650.17810628656,7682.2546283153,7319.63481408427,8280.26467202492,9264.84962555157,6204.26208743457,7350.42793857288,7347.6704482948
"67",2730,0.0219801143138463,582.86355459099,582.862690568444,582.865600684588,73.23399999998,71.95200000002,77.84,27,7,10,10,27040.9016161484,26877.9012322582,25805.4247453445,24925.8114158926,24588.7705207513,23794.6706612496,24725.7422044866,22160.597323161,25249.9074797751,21317.1642664622,21653.4669646797,24396.4482799288,27835.1308975436,51713.6142795359,58760.9661799344,21306.0444464719,21568.1966458134,23519.5174061586,24607.5560420841,21965.7637749512,22059.239613508,23004.9284987848,28763.5333065324,28667.2707130264,16312.1972735329,18515.6024214634,22843.0037886919
