"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"HMDB0094731","NA","NA","NA","NA","NA","0"
"HMDB0163437","NA","NA","NA","NA","NA","0"
"HMDB0028691","Alanyl-Leucine","HMDB0028691","96801",NA,"CC(C)CC(NC(=O)C(C)N)C(O)=O","1"
"HMDB0028922","Leucyl-Alanine","HMDB0028922","81721",NA,"CC(C)CC(N)C(=O)NC(C)C(O)=O","1"
"HMDB0028690","Alanyl-Isoleucine","HMDB0028690","7408079",NA,"CCC(C)C(NC(=O)C(C)N)C(O)=O","1"
"HMDB0163436","NA","NA","NA","NA","NA","0"
"HMDB0094713","NA","NA","NA","NA","NA","0"
"HMDB0163435","NA","NA","NA","NA","NA","0"
"HMDB0163440","NA","NA","NA","NA","NA","0"
"HMDB0028900","Isoleucyl-Alanine","HMDB0028900","7009577",NA,"CCC(C)C(N)C(=O)NC(C)C(O)=O","1"
"HMDB0039590","NA","NA","NA","NA","NA","0"
"HMDB0039339","NA","NA","NA","NA","NA","0"
"HMDB0032531","2-trans-6-cis-Dodecadienal","HMDB0032531","6430759",NA,"CCCCC/C=C\CC/C=C/C=O","1"
"HMDB0038108","NA","NA","NA","NA","NA","0"
"HMDB0031181","Homodihydrojasmone","HMDB0031181","11137732",NA,"CCCCCCC1=C(CCC1=O)C","1"
"HMDB0015398","Varenicline","HMDB0015398","5310966",NA,"C1[C@@H]2CNC[C@H]1C3=CC4=NC=CN=C4C=C23","1"
"HMDB0029746","3-Amino-1,4-dimethyl-5H-pyrido[4,3-b]indole","HMDB0029746","5284474","C19306","CC1=C(N=C(C2=C1NC3=CC=CC=C32)C)N","1"
"HMDB0014557","Pramipexole","HMDB0014557","119570",NA,"CCCN[C@H]1CCC2=C(C1)SC(=N2)N","1"
"HMDB0185208","NA","NA","NA","NA","NA","0"
"HMDB0166077","NA","NA","NA","NA","NA","0"
"HMDB0060351","2-Phenyl-1,3-propanediol monocarbamate","HMDB0060351","0","C16586","OCC(COC(O)=N)C1=CC=CC=C1","1"
"HMDB0029217","Tyrosine methylester","HMDB0029217","70652","C03404","COC(=O)[C@H](CC1=CC=C(C=C1)O)N","1"
"HMDB0060065","NA","NA","NA","NA","NA","0"
"HMDB0041943","NA","NA","NA","NA","NA","0"
"HMDB0014903","Metyrosine","HMDB0014903","441350","C07921","C[C@](CC1=CC=C(C=C1)O)(C(=O)O)N","1"
"HMDB0015442","Butethal","HMDB0015442","6473",NA,"CCCCC1(C(=O)NC(=O)NC1=O)CC","1"
"HMDB0011180","L-prolyl-L-proline","HMDB0011180","263469",NA,"C1CC(NC1)C(=O)N2CCCC2C(=O)O","1"
"HMDB0014382","Butabarbital","HMDB0014382","2479","C07827","CCC(C)C1(C(=O)NC(=O)NC1=O)CC","1"
"HMDB0029128","Valyl-Hydroxyproline","HMDB0029128","10242944",NA,"CC(C)C(N)C(=O)N1CC(O)CC1C(O)=O","1"
"HMDB0028876","Hydroxyprolyl-Valine","HMDB0028876","61158071",NA,"CC(C)C(NC(=O)C1CC(O)CN1)C(O)=O","1"
"HMDB0240320","NA","NA","NA","NA","NA","0"
"HMDB0037763","NA","NA","NA","NA","NA","0"
"HMDB0036685","NA","NA","NA","NA","NA","0"
"HMDB0013804","beta-Damascenone","HMDB0013804","5366074",NA,"C\C=C\C(=O)C1=C(C)C=CCC1(C)C","1"
"HMDB0036572","NA","NA","NA","NA","NA","0"
"HMDB0151806","NA","NA","NA","NA","NA","0"
"HMDB0151769","NA","NA","NA","NA","NA","0"
