"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"HMDB0000193","Isocitric acid","HMDB0000193","1198","C00311","C(C(C(C(=O)O)O)C(=O)O)C(=O)O","1"
"HMDB0001874","D-threo-Isocitric acid","HMDB0001874","5318532","C00451","C([C@@H]([C@H](C(=O)O)O)C(=O)O)C(=O)O","1"
"HMDB0005971","Diketogulonic acid","HMDB0005971","440390","C04575","C([C@@H]([C@H](C(=O)C(=O)C(=O)O)O)O)O","1"
"HMDB0006511","2,3-Diketo-L-gulonate","HMDB0006511","53477844","C04575","C([C@@H](C(C(=O)C(=O)C(=O)O)O)O)O","1"
"HMDB0033717","(1R,2R)-Isocitric acid","HMDB0033717","439238","C04617","C([C@H]([C@H](C(=O)O)O)C(=O)O)C(=O)O","1"
"HMDB0035145","Chrycolide","HMDB0035145","13259263",NA,"OC1=CC=CC2=C1C(=O)OC2C1=CC=CS1","1"
"HMDB0180803","NA","NA","NA","NA","NA","0"
"HMDB0168872","NA","NA","NA","NA","NA","0"
"HMDB0033845","(Z)-5-[(5-Methyl-2-thienyl)methylene]-2(5H)-furanone","HMDB0033845","11469583",NA,"CC1=CC=C(S1)/C=C/2\C=CC(=O)O2","1"
"HMDB0035593","Rishitin","HMDB0035593","534260","C09715","CC1C(C(CC2=C1CC(CC2)C(=C)C)O)O","1"
"HMDB0037605","NA","NA","NA","NA","NA","0"
"HMDB0036790","NA","NA","NA","NA","NA","0"
"HMDB0036791","NA","NA","NA","NA","NA","0"
"HMDB0037820","NA","NA","NA","NA","NA","0"
"HMDB0040178","NA","NA","NA","NA","NA","0"
"HMDB0160293","NA","NA","NA","NA","NA","0"
"HMDB0160295","NA","NA","NA","NA","NA","0"
"HMDB0160291","NA","NA","NA","NA","NA","0"
"HMDB0160290","NA","NA","NA","NA","NA","0"
"HMDB0160289","NA","NA","NA","NA","NA","0"
"HMDB0160292","NA","NA","NA","NA","NA","0"
"HMDB0160296","NA","NA","NA","NA","NA","0"
"HMDB0160294","NA","NA","NA","NA","NA","0"
"HMDB0160298","NA","NA","NA","NA","NA","0"
"HMDB0160297","NA","NA","NA","NA","NA","0"
"HMDB0032369","L-Menthyl acetoacetate","HMDB0032369","43045",NA,"C[C@H]1CC[C@@H]([C@H](C1)OC(=O)CC(=O)C)C(C)C","1"
"HMDB0033619","Hexyl hexanoate","HMDB0033619","22873",NA,"CCCCCCOC(=O)CCCCC","1"
