metaboliteID,mz,mzmin,mzmax,rt,rtmin,rtmax,npeaks,QC,Unvaccinated,Vaccinated,Minipig_Pooled_QC1,Minipig_Pooled_QC2,Minipig_Pooled_QC3,Minipig_Pooled_QC4,Minipig_Pooled_QC5,Minipig_Pooled_QC6,Minipig_Pooled_QC7,Minipig_3273_12wks,Minipig_3273_30DPI,Minipig_4754_12wks,Minipig_4754_30DPI,Minipig_7488_12wks,Minipig_7488_30DPI,Minipig_7554_12wks,Minipig_7554_30DPI,Minipig_9739_12wks,Minipig_9739_30DPI,Minipig_1817_12wks,Minipig_1817_30DPI,Minipig_4515_12wks,Minipig_4515_30DPI,Minipig_5273_12wks,Minipig_5273_30DPI,Minipig_6059_12wks,Minipig_6059_30DPI,Minipig_9947_12wks,Minipig_9947_30DPI
3148,664.2802289,664.2778131,664.2813616,659.515,659.299,660.025,7,0,3,4,6269.14397,7016.352472,6007.484818,6654.750177,6952.40914,5987.882649,7188.85293,2472.608986,2854.4523,9837.947399,8088.489464,3019.727304,2810.490561,7331.83364,1951.302718,8447.726483,11051.142,2451.318269,2753.414853,6035.494588,9128.441409,6779.51275,7512.428469,10451.94229,11371.7806,2499.589141,4052.958479
4362,1289.600236,1289.597122,1289.603563,659.372,658.284,659.874,26,7,9,10,49304.74592,45365.14922,48433.6118,44815.33725,43949.19483,44120.37163,43431.39804,9717.03431,12535.54378,90679.54284,51234.82218,14296.28651,8711.106931,35284.49295,5003.721248,70151.66207,95407.67825,11168.18228,12553.64867,53229.91493,82200.93073,72767.53291,52060.86656,93202.90614,110519.0912,18240.51004,16401.31971
4363,1290.6033,1290.60036,1290.606698,659.36,658.951,659.733,24,6,8,10,33353.59334,31207.48165,32904.68643,29583.46907,29713.24838,29894.97875,29388.04581,6733.224684,8886.295552,59833.67165,35905.61663,9672.481858,5753.664585,23559.67028,3626.554769,46110.41915,63167.9957,7518.537481,8300.970716,35987.06854,54278.89969,48542.32746,36022.51765,61293.4618,72276.83965,12702.98552,11242.34285
4364,1291.605892,1291.601974,1291.60932,659.317,658.951,659.733,18,7,5,6,13104.78964,12344.53913,13216.84129,11608.69564,12390.71403,12095.50592,11934.9105,2819.452673,3320.581368,23247.35197,13677.6797,4055.553404,2023.341847,9157.058338,1173.515524,17903.84115,23587.26423,2935.429891,3287.489377,13499.3694,20974.89208,19006.05595,13962.6844,23944.60006,28047.67203,4754.664121,4429.269091
1330,335.1673731,335.1666716,335.1681969,430.9125,430.075,431.418,26,7,9,10,48102.4776,44485.21653,43710.89275,42344.99186,45835.65498,44521.61812,42840.02592,41443.8967,34126.57944,57519.16459,28645.8058,49152.07933,32087.01944,26015.84397,5356.922149,48208.68423,24767.09089,51959.37386,40468.90937,55794.3235,36544.05696,51631.05036,25505.13204,42534.07119,46434.8688,49913.74877,34952.42488
1332,335.4181745,335.4173479,335.4189437,430.929,430.327,431.418,26,7,9,10,32008.77655,31053.62246,30840.52308,29217.6203,29203.75436,29910.44568,28682.54913,27847.31134,23086.64432,37950.76071,19568.04913,34428.47504,21294.05099,17579.86162,3383.260037,34911.20165,17620.62418,35339.07451,28365.99767,38615.33817,24724.94368,35843.0425,17015.05464,29159.9997,32355.9885,35157.48987,23061.76155
1810,446.5538756,446.5528183,446.5552979,430.718,430.075,431.418,26,7,9,10,42266.86884,39876.83855,41293.92848,39667.40305,39777.50253,39122.32952,38857.78253,38712.96732,31195.67428,52375.19147,26463.58564,45229.12622,29623.87587,23230.08557,4462.166926,47235.36648,23656.46052,46792.16517,35480.72502,51213.72863,31655.09598,50762.27945,23954.83982,40865.08546,41373.22876,44108.86533,33140.0875
1814,446.8883948,446.8870236,446.8891517,430.9125,430.075,431.418,26,7,9,10,29323.67472,27500.42925,27790.62646,26595.4066,27635.61126,26392.93235,25951.44364,25276.77995,22204.68526,35156.02879,17691.74526,30646.92289,19829.07361,16588.02375,2945.259537,32423.85285,16213.99112,31699.56335,24757.59309,34110.19138,22619.54997,33460.37713,16413.18117,25368.84488,28363.05251,31074.31355,21245.77949
1817,447.2222942,447.2211431,447.2239087,430.719,430.075,431.418,21,7,6,8,11671.26288,11417.30786,11235.54491,11347.62062,11457.45392,10835.75304,10589.78381,10637.96108,9017.448149,14794.26943,7471.228807,12641.48087,7899.853458,6328.331046,1302.475922,12483.69931,6482.788627,11490.12356,10539.7077,14596.06062,9483.119433,14013.14118,7056.574128,10654.23428,11959.54684,13521.86927,9191.277917
3709,899.6365494,899.6350049,899.6383337,1064.818,1063.485,1066.152,25,7,8,10,133110.4307,121182.0582,122793.3436,113213.7753,113698.2971,118370.7659,113967.4897,25855.68684,92329.99791,282275.7832,29112.2342,6322.092122,12580.63694,304456.8686,5455.205011,101701.0038,36668.8213,52372.07178,53759.65583,110461.1998,26132.28581,390193.502,164657.3043,326752.3527,103073.8829,188360.3072,36104.04662
3713,900.6396874,900.6386638,900.6414737,1064.8185,1064.137,1065.499,24,7,7,10,73867.04143,69468.16698,68803.13834,64339.60525,63954.12663,65619.76638,63646.06296,16493.94622,53168.98824,155232.7834,17121.16529,4189.27914,7419.229303,168213.0523,3797.192896,58786.43195,21914.43373,30054.54647,31675.64041,61565.67183,16070.03441,215481.0866,90999.08483,183566.5589,58513.63334,104758.7701,21864.64967
3715,901.6402752,901.6353947,901.6431233,1064.81,1064.15,1065.499,21,7,5,9,25453.81951,22752.36566,25724.84112,23720.17551,22276.61205,22211.47282,24198.09985,9145.893073,21177.92945,49235.38014,8747.589337,5328.600175,4769.670805,50083.68337,1408.98158,19460.76835,9764.821369,11489.95116,9563.394514,22622.36177,10308.61821,65060.70363,29052.45262,56283.00011,20646.33874,32587.07747,11393.03523
2227,512.2522409,512.2512822,512.2534972,609.492,608.675,609.899,26,7,9,10,218152.7586,210671.945,206799.9735,198915.8814,202174.148,198065.4535,194480.4323,481043.3962,193649.139,179284.5402,21324.01525,316211.4624,55899.55549,54242.72826,2470.342965,215882.6942,38190.51972,376340.7821,288764.4841,313210.0905,57009.62135,122986.5753,55568.36307,113442.8896,49849.22507,459874.7512,240357.4725
2231,512.5864846,512.5856527,512.5876344,609.356,608.675,610.04,26,7,9,10,175289.5881,165800.0839,167035.6625,163542.2595,162335.4347,161143.7661,155697.7308,384994.5171,156904.1819,142720.4904,16886.87279,253238.7363,45456.04497,44565.29728,2483.734808,175402.2669,30349.64222,301512.3319,231704.7376,249474.9805,44895.85859,96966.59546,45195.43773,94554.88133,39582.80794,370184.8335,194738.2116
2235,512.9208208,512.9196543,512.9221736,609.373,608.681,609.899,25,7,8,10,81260.7601,78046.7782,76229.89873,75157.35199,75123.26455,74412.38549,71232.15201,177098.883,71729.0659,65107.77723,7492.348886,113348.1966,20009.33398,21080.21153,899.0411024,79394.66294,14141.57953,136441.0508,106067.6782,116381.8868,21470.90275,45473.32913,21595.89822,42892.74166,18530.22162,167584.2749,89319.37376
2238,513.2548693,513.2537366,513.256083,609.361,608.675,609.899,21,7,6,8,28688.67803,26518.55162,27241.49659,25244.91742,25265.08535,25958.85226,26123.28018,59273.01772,24756.50478,24629.91654,2528.545604,40222.08069,6916.009598,7082.701671,0,28229.10905,4588.354747,47240.14562,36812.49008,39512.27313,7275.335777,15499.42124,7320.633841,14981.68315,6035.277682,57974.26185,30853.46515
2243,513.5879659,513.5873286,513.5896121,609.632,608.681,609.899,9,2,2,5,7201.273224,7501.660496,6752.10899,7948.119461,6412.163845,7806.326764,6634.952109,15518.67125,6983.030683,6423.962937,311.5576528,10454.447,2035.908172,1634.473603,0,7269.356095,1301.010827,12708.00907,9929.111174,10623.42658,2168.698862,5022.35632,1817.19454,4657.973081,1717.438664,14850.12367,8296.729874
2293,519.5787857,519.5774288,519.5802213,609.34,608.675,609.899,21,7,6,8,24223.57027,23467.13975,24073.34629,21557.73715,22551.23093,22506.86494,21132.18147,43771.31087,22726.3225,19464.93159,2909.640777,32791.37687,7518.386672,6832.044476,0,21026.51849,5136.053565,36441.30706,30336.7299,29884.87933,7256.441674,12962.60946,7519.216187,13807.68335,5971.37697,36876.35611,26748.89003
2297,519.9130116,519.9120493,519.9145022,609.347,608.675,609.899,19,7,5,7,20860.61586,19969.06014,20165.4137,18739.04053,19189.19501,19008.33745,18443.49897,36668.84389,18467.36763,16003.94408,2343.384363,26242.27622,6592.869335,6194.985289,0,18155.74299,4041.551363,31087.36285,23990.61885,24503.64466,6335.877475,11234.23476,6025.31302,11537.44408,4736.645663,31622.97373,20486.92019
2434,537.4724681,537.4716057,537.4742008,524.6825,524.02,525.083,26,7,9,10,19384.43797,20123.38613,18254.95655,17049.12068,18756.71539,17246.41113,18564.82599,21163.65967,17348.74284,19153.59758,12736.64719,21148.40018,13524.40426,13064.89077,3510.822045,18178.23138,12018.71439,21810.36656,21557.71594,22094.97077,16359.72571,16707.75605,12448.37414,15868.77661,15565.51833,22236.14642,18312.30814
3322,710.6373052,710.6349144,710.6393173,524.5235,524.005,524.869,26,7,9,10,39421.08274,34556.92764,36089.70963,34469.85846,34176.58539,36048.35358,34242.37558,45581.70692,25833.2052,37766.78246,18697.72927,41468.14951,21826.18116,20348.46391,4799.96721,41599.63564,18294.30246,47383.64504,42809.0996,49549.40836,27461.02084,32529.24898,20168.60801,29860.40657,24707.51474,49760.46418,35764.93588
3346,716.2952222,716.2935354,716.2968198,524.6475,524.016,525.083,26,7,9,10,45205.20396,42420.4281,42911.61325,41413.80302,41530.14885,42859.38675,40458.42807,53488.83821,37766.23863,43730.57944,25933.66849,50195.43538,28441.55421,23702.35016,5688.295772,41677.64963,27459.18247,55354.41859,52574.82324,51136.37573,39468.80408,35793.87062,26766.80329,36543.08582,34273.98408,52688.88424,45232.69228
3419,743.0054685,743.0036619,743.0072125,580.109,579.334,581.062,7,0,2,5,6660.145836,5860.646418,6272.283608,6102.967494,6645.711709,6540.929956,6056.879642,7711.75211,5486.802089,6753.252101,3833.956943,6967.988987,6453.568007,5058.948284,329.6044317,6889.998925,4889.275976,7822.386565,7238.686083,7751.327912,5043.57419,6000.796619,3405.672001,5744.139044,4504.50624,10349.86695,6441.539052
3482,767.874944,767.874036,767.8768487,609.632,608.681,609.899,27,7,10,10,2099456.063,1996596.865,1997605.823,1931757.852,1928844.391,1921444.92,1864964.931,5600715.378,1800342.763,1787342.598,126918.6901,3335120.571,365828.8831,365694.6398,12815.69532,2304229.137,233407.6743,4312333.303,3129205.315,3569757.855,394991.3753,1121729.763,396253.7166,949299.977,356480.2356,5739863.68,2505617.918
3483,768.3764038,768.3753587,768.3781755,609.652,608.681,610.206,27,7,10,10,1682284.861,1599519.123,1600586.207,1546058.773,1546992.056,1541998.412,1488684.537,4531995.165,1432987.429,1441059.256,99907.62362,2710214.728,291183.1708,296827.8484,9953.64353,1853096.359,184733.2099,3486911.45,2513105.373,2882802.769,315341.5174,891519.0094,315577.5172,759062.1684,281128.8908,4636046.349,2021905.391
