"metaboliteID","mz","mzmin","mzmax","rt","rtmin","rtmax","npeaks","QC","Unvaccinated","Vaccinated","Minipig_Pooled_QC1","Minipig_Pooled_QC2","Minipig_Pooled_QC3","Minipig_Pooled_QC4","Minipig_Pooled_QC5","Minipig_Pooled_QC6","Minipig_Pooled_QC7","Minipig_3273_12wks","Minipig_3273_30DPI","Minipig_4754_12wks","Minipig_4754_30DPI","Minipig_7488_12wks","Minipig_7488_30DPI","Minipig_7554_12wks","Minipig_7554_30DPI","Minipig_9739_12wks","Minipig_9739_30DPI","Minipig_1817_12wks","Minipig_1817_30DPI","Minipig_4515_12wks","Minipig_4515_30DPI","Minipig_5273_12wks","Minipig_5273_30DPI","Minipig_6059_12wks","Minipig_6059_30DPI","Minipig_9947_12wks","Minipig_9947_30DPI"
"441",146.117135412808,146.11655734101,146.11827042352,86.50400000002,85.359,91.783,27,7,10,10,47353.3133968506,44704.1268490369,45380.7020301361,44609.3951569412,43437.6362440021,42863.1216202245,41662.834497608,65061.1822100627,27495.9159614068,37464.0452641307,23141.8863083784,74621.6695942281,43622.7887950236,39939.4738093157,26352.9643285717,51579.7073986755,27680.9676512608,66278.102085983,37553.486440049,56873.4710662025,28481.3281543772,60087.6272710402,38048.7229553881,51925.1352571105,24673.7365353833,65350.2008374481,29135.5818185883
"445",147.031327057773,147.029436495075,147.034913643224,160.403,157.07,161.53199999998,21,7,8,6,18902.7124385006,18759.6533952225,18424.915872392,19200.8144657783,16482.6576355351,19232.7245183771,16472.5572059049,10270.0309409917,16964.9773112062,15041.3925239746,12809.9429157049,8693.6519601516,20099.3165409435,12464.6204732999,13724.2102834145,14258.5680642293,20112.1307011662,9706.90587698453,11951.7969489353,14735.9013917766,27770.0486581494,14654.1880153537,23964.007687676,16033.4646286439,25645.2731748999,9619.39390766238,18892.8720003051
"453",147.120624270032,147.120167223813,147.121108216531,415.88200000001,414.99000000002,416.167,26,7,9,10,75451.6213315098,72116.4301878822,76450.4102649507,76162.503930175,72466.4851395348,75546.4894451628,74956.8967708376,131797.628135082,35412.1249032106,89234.2436836816,29597.7014283266,102099.277844156,34866.8612532335,76123.0308682665,6040.29974488338,117879.739148754,55654.888223049,94914.7883899782,29210.3452480609,69015.9870213998,27011.8208929928,86645.6726514467,31937.273830511,91373.8354670855,46993.821605836,97412.3467726728,27313.3522832984
"480",151.144161929408,151.143763872108,151.144809546945,83.48899999998,82.35299999998,86.285,17,7,5,5,90497.3238841792,89648.9944968142,91103.3657669385,94015.6461684929,86856.3410435675,83333.238128773,88666.3194667488,4307.8756767789,583062.325186735,5723.06405569506,510380.641296453,2328.18023417867,386854.594261353,1988.59998068159,303105.817966789,2854.7317521534,454616.833753041,6285.49646938831,406060.574236557,2966.82785969988,359186.225169545,5490.08950509423,604477.535377869,1957.17682183931,421585.815912231,817.569236485251,362432.654614302
"486",152.147027385283,152.146703415741,152.147605235037,83.38999999999,82.35299999998,86.285,10,0,5,5,8106.57747283859,7813.00361911417,7222.04446019045,7757.98722175658,7294.45173713209,8813.15744194994,8612.66996846168,1432.37196376838,35311.6709768463,2129.64588237199,32506.9674565615,221.591152750739,24821.4615333419,1096.05270636125,19756.4398150344,1160.48025185314,30080.4141305096,2215.30274632781,26056.2185162492,1452.56406381631,23022.6570541535,1046.37915572214,37660.3844855136,317.762711655095,27283.0339974144,811.316635993733,24316.6635229947
"528",159.076275020365,159.075534360958,159.07709329438,83.15849999999,81.69600000002,83.62400000002,26,7,9,10,14358.2446701965,14822.701295759,15302.6922401962,16062.2973817577,15632.6534631043,16092.5243318017,14426.4544070173,14535.2716289343,10490.769134222,14308.1906643906,7929.57758103483,15514.9575192261,11985.5958178975,16180.3083473518,1618.66961559257,25077.1026488466,10228.2258391173,13848.7354954576,9675.18588115505,21452.3401698614,6372.30091397093,21653.5085139022,8266.59650337777,24603.6789273798,10255.2138704224,16893.7428596906,9937.67170903106
"542",160.994815435745,160.993565607396,160.996082973556,62.564,61.273,64.417,25,7,8,10,17308.9458603121,16569.8133931621,16851.6738305212,14888.5341696467,14354.016226681,15275.0763064555,15614.5584432847,7091.09573113101,26604.3789103681,19135.781997021,26907.5851723064,10654.9841950733,14139.4821548294,8073.24136368358,22336.3012860451,9489.13563290862,19703.4755109915,14393.2420457764,15881.2863809919,11371.1525348075,24528.718908264,20515.1268032384,22062.6872344351,14351.0081606649,41013.2145590495,7949.80977749023,17129.7317219388
"570",168.0289352971,168.028829559606,168.02977666072,121.16299999998,119.839,134.652,9,5,3,1,23603.530495623,15142.536434048,15715.394192651,23202.0668725712,22569.5788866132,24353.0954542149,23904.6870932331,13202.3926551255,10355.049290209,20595.4780651165,10632.7118105067,21692.2072104401,10413.9029623647,16405.9412863287,0,24017.1910816645,9725.75123693016,18035.7629823005,9455.26515314511,17190.4337663676,7928.88545380634,20279.6239761869,7304.43782997624,14002.5097032164,9718.80295822372,16547.1280641641,7595.64405626089
"604",175.022500212571,175.021138864944,175.02418425754,160.74399999998,153.62299999998,162.604,21,7,8,6,17007.919416448,20553.9259829288,17871.1487103783,19023.1032363025,14797.6146961836,17403.2473241272,19144.086861112,11141.3598020418,17452.7589171527,17058.4386166471,15150.6151901716,9487.54757042052,18366.8659128721,14119.9898288828,14092.8563604166,9811.2419666992,19072.0920674738,11678.2309379665,10715.2973694485,11431.290319603,25492.0895128146,14113.3810614099,23465.3827403534,14102.7756571416,21320.2089134275,11273.1504433213,18898.841832962
"656",187.057792604533,187.057186026867,187.058773710937,89.86399999999,88.72300000002,90.57499999998,26,7,9,10,28791.6578072451,29025.7961694609,30997.7450725787,28302.533276474,28551.3034714635,28938.2341396054,27401.8026155278,45996.731783014,20026.0068163303,25956.2792269761,12625.7296784252,50257.81838682,30285.9198732519,21004.5385687083,3038.29713814386,38581.8405983244,23945.7012545574,38492.9967866604,22315.8858351212,23833.3973340913,9351.57703597109,23966.1474317339,8481.10147192092,35905.6284786919,19307.0369209242,46988.5957076483,20992.2880127444
