"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"HMDB0059625","NA","NA","NA","NA","NA","0"
"HMDB0029196","D-Fucose","HMDB0029196","444200","C01018","C[C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)O)O)O)O","1"
"HMDB0003081","Beta-D-Fucose","HMDB0003081","439650","C02095","C[C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O)O)O)O","1"
"HMDB0000174","L-Fucose","HMDB0000174","25310","C01019","C[C@H]1[C@H]([C@H]([C@@H](C(O1)O)O)O)O","1"
"HMDB0059624","NA","NA","NA","NA","NA","0"
"HMDB0000849","Rhamnose","HMDB0000849","25310","C00507","C[C@H]1[C@@H]([C@H]([C@H](C(O1)O)O)O)O","1"
"HMDB0124735","NA","NA","NA","NA","NA","0"
"HMDB0240304","NA","NA","NA","NA","NA","0"
"HMDB0003584","Taurocyamine","HMDB0003584","68340","C01959","C(CS(=O)(=O)O)N=C(N)N","1"
"HMDB0040367","NA","NA","NA","NA","NA","0"
"HMDB0037521","NA","NA","NA","NA","NA","0"
"HMDB0014883","Modafinil","HMDB0014883","4236",NA,"C1=CC=C(C=C1)C(C2=CC=CC=C2)S(=O)CC(=O)N","1"
"HMDB0160041","NA","NA","NA","NA","NA","0"
"HMDB0163698","NA","NA","NA","NA","NA","0"
"HMDB0165052","NA","NA","NA","NA","NA","0"
"HMDB0165051","NA","NA","NA","NA","NA","0"
"HMDB0165056","NA","NA","NA","NA","NA","0"
"HMDB0165053","NA","NA","NA","NA","NA","0"
"HMDB0165054","NA","NA","NA","NA","NA","0"
"HMDB0165057","NA","NA","NA","NA","NA","0"
"HMDB0165060","NA","NA","NA","NA","NA","0"
"HMDB0165059","NA","NA","NA","NA","NA","0"
"HMDB0171223","NA","NA","NA","NA","NA","0"
"HMDB0163699","NA","NA","NA","NA","NA","0"
"HMDB0163695","NA","NA","NA","NA","NA","0"
"HMDB0160042","NA","NA","NA","NA","NA","0"
"HMDB0160039","NA","NA","NA","NA","NA","0"
"HMDB0160038","NA","NA","NA","NA","NA","0"
"HMDB0158762","NA","NA","NA","NA","NA","0"
"HMDB0158761","NA","NA","NA","NA","NA","0"
"HMDB0156882","NA","NA","NA","NA","NA","0"
"HMDB0156881","NA","NA","NA","NA","NA","0"
"HMDB0160699","NA","NA","NA","NA","NA","0"
"HMDB0160700","NA","NA","NA","NA","NA","0"
"HMDB0163691","NA","NA","NA","NA","NA","0"
"HMDB0163694","NA","NA","NA","NA","NA","0"
"HMDB0163687","NA","NA","NA","NA","NA","0"
